source_file,entry_prompt,entry_concept,current_max_level,status,in_level2_article,level2_article_file,notes
accidents_and_mistakes_entries.md,what does oops mean?,what does oops mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does by mistake mean?,what does by mistake mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does I didn't mean to mean?,what does I didn't mean to mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does spill mean?,what does spill mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does bump mean?,what does bump mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does fall down mean?,what does fall down mean?,1,level1_only,no,,
accidents_and_mistakes_entries.md,what does it was an accident mean?,what does it was an accident mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what is agreement?,what is agreement?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what is disagreement?,what is disagreement?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does yes mean?,what does yes mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does no mean?,what does no mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does I agree mean?,what does I agree mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does I disagree mean?,what does I disagree mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does me too mean?,what does me too mean?,1,level1_only,no,,
agreement_and_disagreement_entries.md,what does not me mean?,what does not me mean?,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is pet care?,what is pet care?,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is pet keeping?,what is pet keeping?,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is pet food?,what is pet food?,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is a water bowl?,water bowl,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is a leash?,leash,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is a collar?,collar,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is a litter box?,litter box,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is grooming?,what is grooming?,1,level1_only,no,,
animal_care_and_pet_keeping_entries.md,what is a vet?,vet,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is an animal habitat?,animal habitat,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is an animal home?,animal home,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a nest?,nest,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a burrow?,burrow,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a den?,den,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a hive?,hive,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a web?,web,1,level1_only,no,,
animal_habitats_and_homes_entries.md,what is a reef?,reef,1,level1_only,no,,
animals_birds_entries.md,what is a bird?,bird,1,level1_only,no,,
animals_birds_entries.md,what is a chicken?,chicken,1,level1_only,no,,
animals_birds_entries.md,what is a crow?,crow,1,level1_only,no,,
animals_birds_entries.md,what is a raven?,raven,1,level1_only,no,,
animals_birds_entries.md,what is a duck?,duck,1,level1_only,no,,
animals_birds_entries.md,what is an eagle?,eagle,1,level1_only,no,,
animals_birds_entries.md,what is a goose?,goose,1,level1_only,no,,
animals_birds_entries.md,what is a hawk?,hawk,1,level1_only,no,,
animals_birds_entries.md,what is an owl?,owl,1,level1_only,no,,
animals_birds_entries.md,what is a parrot?,parrot,1,level1_only,no,,
animals_birds_entries.md,what is a penguin?,penguin,1,level1_only,no,,
animals_birds_entries.md,what is a robin?,robin,1,level1_only,no,,
animals_birds_entries.md,what is a sparrow?,sparrow,1,level1_only,no,,
animals_birds_entries.md,what is a swan?,swan,1,level1_only,no,,
animals_fish_entries.md,what is a clam?,clam,1,level1_only,no,,
animals_fish_entries.md,what is a coral?,coral,1,level1_only,no,,
animals_fish_entries.md,what is a crab?,crab,1,level1_only,no,,
animals_fish_entries.md,what is a fish?,fish,1,level1_only,no,,
animals_fish_entries.md,what is a jellyfish?,jellyfish,1,level1_only,no,,
animals_fish_entries.md,what is an octopus?,octopus,1,level1_only,no,,
animals_fish_entries.md,what is a salmon?,salmon,1,level1_only,no,,
animals_fish_entries.md,what is a sea creature?,sea creature,1,level1_only,no,,
animals_fish_entries.md,what is a shark?,shark,1,level1_only,no,,
animals_fish_entries.md,what is a starfish?,starfish,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is an insect?,insect,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is an arthropod?,arthropod,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is an ant?,ant,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a bee?,bee,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a beetle?,beetle,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a butterfly?,butterfly,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a cricket?,cricket,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a dragonfly?,dragonfly,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a firefly?,firefly,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a grasshopper?,grasshopper,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a ladybug?,ladybug,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a moth?,moth,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a spider?,spider,1,level1_only,no,,
animals_insects_arthropods_entries.md,what is a worm?,worm,1,level1_only,no,,
animals_mammals_entries.md,what is an animal?,animal,1,level1_only,no,,
animals_mammals_entries.md,what is a mammal?,mammal,1,level1_only,no,,
animals_mammals_entries.md,what is a human?,human,1,level1_only,no,,
animals_mammals_entries.md,what is a monkey?,monkey,1,level1_only,no,,
animals_mammals_entries.md,what is an ape?,ape,1,level1_only,no,,
animals_mammals_entries.md,what is a chimp?,chimp,1,level1_only,no,,
animals_mammals_entries.md,what is a bear?,bear,1,level1_only,no,,
animals_mammals_entries.md,what is a bunny?,bunny,1,level1_only,no,,
animals_mammals_entries.md,what is a cat?,cat,1,level1_only,no,,
animals_mammals_entries.md,what is a cow?,cow,1,level1_only,no,,
animals_mammals_entries.md,what is a deer?,deer,1,level1_only,no,,
animals_mammals_entries.md,what is a dog?,dog,1,level1_only,no,,
animals_mammals_entries.md,what is a dolphin?,dolphin,1,level1_only,no,,
animals_mammals_entries.md,what is a fox?,fox,1,level1_only,no,,
animals_mammals_entries.md,what is a goat?,goat,1,level1_only,no,,
animals_mammals_entries.md,what is a sheep?,sheep,1,level1_only,no,,
animals_mammals_entries.md,what is a hamster?,hamster,1,level1_only,no,,
animals_mammals_entries.md,what is a horse?,horse,1,level1_only,no,,
animals_mammals_entries.md,what is a lion?,lion,1,level1_only,no,,
animals_mammals_entries.md,what is a tiger?,tiger,1,level1_only,no,,
animals_mammals_entries.md,what is a mouse?,mouse,1,level1_only,no,,
animals_mammals_entries.md,what is a pig?,pig,1,level1_only,no,,
animals_mammals_entries.md,what is a rabbit?,rabbit,1,level1_only,no,,
animals_mammals_entries.md,what is a whale?,whale,1,level1_only,no,,
animals_mammals_entries.md,what is a wolf?,wolf,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a reptile?,reptile,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is an amphibian?,amphibian,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is an alligator?,alligator,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a crocodile?,crocodile,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a frog?,frog,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a lizard?,lizard,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a snake?,snake,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a toad?,toad,1,level1_only,no,,
animals_reptiles_amphibians_entries.md,what is a turtle?,turtle,1,level1_only,no,,
art_and_creative_expression_entries.md,what is art?,what is art?,1,level1_only,no,,
art_and_creative_expression_entries.md,what is creativity?,what is creativity?,1,level1_only,no,,
art_and_creative_expression_entries.md,what does it mean to draw?,what does it mean to draw?,1,level1_only,no,,
art_and_creative_expression_entries.md,what does it mean to paint?,what does it mean to paint?,1,level1_only,no,,
art_and_creative_expression_entries.md,what is a craft?,craft,1,level1_only,no,,
art_and_creative_expression_entries.md,what does decorate mean?,what does decorate mean?,1,level1_only,no,,
art_and_creative_expression_entries.md,what does erase mean?,what does erase mean?,1,level1_only,no,,
art_and_creative_expression_entries.md,what is clay?,what is clay?,1,level1_only,no,,
art_and_creative_expression_entries.md,what is a collage?,collage,1,level1_only,no,,
body_parts_entries.md,what is a body part?,body part,1,level1_only,no,,
body_parts_entries.md,what is a head?,head,1,level1_only,no,,
body_parts_entries.md,what is a face?,face,1,level1_only,no,,
body_parts_entries.md,what is an arm?,arm,1,level1_only,no,,
body_parts_entries.md,what is a leg?,leg,1,level1_only,no,,
body_parts_entries.md,what is a hand?,hand,1,level1_only,no,,
body_parts_entries.md,what is a foot?,foot,1,level1_only,no,,
body_parts_entries.md,what is an ear?,ear,1,level1_only,no,,
body_parts_entries.md,what is an earlobe?,earlobe,1,level1_only,no,,
body_parts_entries.md,what is an eye?,eye,1,level1_only,no,,
body_parts_entries.md,what is an eyelid?,eyelid,1,level1_only,no,,
body_parts_entries.md,what is a mouth?,mouth,1,level1_only,no,,
body_parts_entries.md,what is a nose?,nose,1,level1_only,no,,
body_parts_entries.md,what is a belly?,belly,1,level1_only,no,,
body_parts_entries.md,what is a backbone?,backbone,1,level1_only,no,,
body_parts_entries.md,what is a collarbone?,collarbone,1,level1_only,no,,
body_parts_entries.md,what is a fingertip?,fingertip,1,level1_only,no,,
body_parts_entries.md,what is a forehead?,forehead,1,level1_only,no,,
body_parts_entries.md,what is a jawbone?,jawbone,1,level1_only,no,,
body_parts_entries.md,what is a shinbone?,shinbone,1,level1_only,no,,
body_parts_entries.md,what is a palm?,palm,1,level1_only,no,,
body_parts_entries.md,what is a rib?,rib,1,level1_only,no,,
body_parts_entries.md,what is a chest?,chest,1,level1_only,no,,
body_parts_entries.md,what is a cheek?,cheek,1,level1_only,no,,
body_parts_entries.md,what is a kneecap?,kneecap,1,level1_only,no,,
body_parts_entries.md,what is a shoulder blade?,shoulder blade,1,level1_only,no,,
body_parts_entries.md,what is a knuckle?,knuckle,1,level1_only,no,,
body_parts_entries.md,what is a tooth?,tooth,1,level1_only,no,,
body_parts_entries.md,what is an eyebrow?,eyebrow,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what is a body signal?,body signal,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to feel dizzy?,what does it mean to feel dizzy?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to feel itchy?,what does it mean to feel itchy?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to feel sore?,what does it mean to feel sore?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to shiver?,what does it mean to shiver?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to sweat?,what does it mean to sweat?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to breathe fast?,what does it mean to breathe fast?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean for your heart to beat fast?,what does it mean for your heart to beat fast?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean to need the bathroom?,what does it mean to need the bathroom?,1,level1_only,no,,
body_states_and_internal_cues_entries.md,what does it mean when your tummy hurts?,what does it mean when your tummy hurts?,1,level1_only,no,,
boundaries_and_consent_entries.md,what is a boundary?,boundary,1,level1_only,no,,
boundaries_and_consent_entries.md,what is personal space?,what is personal space?,1,level1_only,no,,
boundaries_and_consent_entries.md,what does stop mean?,what does stop mean?,1,level1_only,no,,
boundaries_and_consent_entries.md,what does not okay mean?,what does not okay mean?,1,level1_only,no,,
boundaries_and_consent_entries.md,what does my body mean?,what does my body mean?,1,level1_only,no,,
boundaries_and_consent_entries.md,what does I don't want to mean?,what does I don't want to mean?,1,level1_only,no,,
boundaries_and_consent_entries.md,what is consent?,what is consent?,1,level1_only,no,,
boundaries_and_consent_entries.md,what does you may not mean?,what does you may not mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what is a category?,category,1,level1_only,no,,
categories_and_grouping_entries.md,what does types of mean?,what does types of mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does belongs to mean?,what does belongs to mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does does not belong mean?,what does does not belong mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does sort mean?,what does sort mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does group mean?,what does group mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what is a set?,set,1,level1_only,no,,
categories_and_grouping_entries.md,what does in the same group mean?,what does in the same group mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does classify mean?,what does classify mean?,1,level1_only,no,,
categories_and_grouping_entries.md,what does which one fits mean?,what does which one fits mean?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what is a chore?,chore,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what is a responsibility?,responsibility,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to clean up?,what does it mean to clean up?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to put something away?,what does it mean to put something away?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to make the bed?,what does it mean to make the bed?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to set the table?,what does it mean to set the table?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to sweep the floor?,what does it mean to sweep the floor?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to water plants?,what does it mean to water plants?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to feed a pet?,what does it mean to feed a pet?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to take out the trash?,what does it mean to take out the trash?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to tidy up?,what does it mean to tidy up?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to mop the floor?,what does it mean to mop the floor?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to wash the dishes?,what does it mean to wash the dishes?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to do the laundry?,what does it mean to do the laundry?,1,level1_only,no,,
chores_and_home_responsibilities_entries.md,what does it mean to vacuum?,what does it mean to vacuum?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what is a responsibility?,responsibility,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what is authority?,what is authority?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what are community rules?,what are community rules?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what does follow the rules mean?,what does follow the rules mean?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what does what's allowed mean?,what does what's allowed mean?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what is a citizen?,citizen,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what does vote mean?,what does vote mean?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what are classroom jobs?,what are classroom jobs?,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what is a right?,right,1,level1_only,no,,
civic_responsibility_and_community_rules_entries.md,what is a privilege?,privilege,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a school tool?,school tool,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a ruler?,ruler,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is an eraser?,eraser,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is glue?,what is glue?,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what are scissors?,what are scissors?,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a marker?,marker,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a whiteboard?,whiteboard,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a glue stick?,glue stick,1,level1_only,no,,
classroom_objects_and_school_tools_entries.md,what is a sharpener?,sharpener,1,level1_only,no,,
clothing_and_apparel_entries.md,what is clothing?,what is clothing?,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a coat?,coat,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a jacket?,jacket,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a shirt?,shirt,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a hat?,hat,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a glove?,glove,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a mitten?,mitten,1,level1_only,no,,
clothing_and_apparel_entries.md,what are pants?,what are pants?,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a skirt?,skirt,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a dress?,dress,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a sock?,sock,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a shoe?,shoe,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a button?,button,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a zipper?,zipper,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a scarf?,scarf,1,level1_only,no,,
clothing_and_apparel_entries.md,what are boots?,what are boots?,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a belt?,belt,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a collar?,collar,1,level1_only,no,,
clothing_and_apparel_entries.md,what is a sleeve?,sleeve,1,level1_only,no,,
collections_and_collecting_entries.md,what is a collection?,collection,1,level1_only,no,,
collections_and_collecting_entries.md,what is a sticker?,sticker,1,level1_only,no,,
collections_and_collecting_entries.md,what is a card?,card,1,level1_only,no,,
collections_and_collecting_entries.md,what is a series?,series,1,level1_only,no,,
collections_and_collecting_entries.md,what does organize mean?,what does organize mean?,1,level1_only,no,,
collections_and_collecting_entries.md,what does trade mean?,what does trade mean?,1,level1_only,no,,
collections_and_collecting_entries.md,what is a duplicate?,duplicate,1,level1_only,no,,
collections_and_collecting_entries.md,what does complete mean?,what does complete mean?,1,level1_only,no,,
collections_and_collecting_entries.md,what is an album?,album,1,level1_only,no,,
collections_and_collecting_entries.md,what does swap mean?,what does swap mean?,1,level1_only,no,,
colors_entries.md,what is a color?,color,1,level1_only,no,,
colors_entries.md,what is light?,what is light?,1,level1_only,no,,
colors_entries.md,what is dark?,what is dark?,1,level1_only,no,,
colors_entries.md,what is red?,what is red?,1,level1_only,no,,
colors_entries.md,what is blue?,what is blue?,1,level1_only,no,,
colors_entries.md,what is yellow?,what is yellow?,1,level1_only,no,,
colors_entries.md,what is green?,what is green?,1,level1_only,no,,
colors_entries.md,what is orange?,what is orange?,1,level1_only,no,,
colors_entries.md,what is purple?,what is purple?,1,level1_only,no,,
colors_entries.md,what is black?,what is black?,1,level1_only,no,,
colors_entries.md,what is white?,what is white?,1,level1_only,no,,
colors_entries.md,what is brown?,what is brown?,1,level1_only,no,,
colors_entries.md,what is pink?,what is pink?,1,level1_only,no,,
colors_entries.md,what is gray?,what is gray?,1,level1_only,no,,
colors_entries.md,what is gold?,what is gold?,1,level1_only,no,,
colors_entries.md,what is silver?,what is silver?,1,level1_only,no,,
colors_entries.md,what is clear?,what is clear?,1,level1_only,no,,
colors_entries.md,what is opaque?,what is opaque?,1,level1_only,no,,
colors_entries.md,what is a rainbow?,rainbow,1,level1_only,no,,
colors_entries.md,what is the spectrum?,spectrum,1,level1_only,no,,
communication_acts_and_language_entries.md,what is communication?,what is communication?,1,level1_only,no,,Entry-level creation-pass review 2026-04-18: kept at Level 1 as umbrella anchor. Gap pass verified 2026-04-20: still Level 1 as the umbrella communication anchor. Dependency pass verified 2026-04-20: still Level 1 because neighboring greeting/agreement/manners/praise files already ground the broader discourse context.
communication_acts_and_language_entries.md,what does it mean to ask?,what does it mean to ask?,2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: ask advanced through asking-type distinctions. Gap pass verified 2026-04-20: still Level 2; existing asking-type distinctions cover the highest-value gaps. Dependency pass verified 2026-04-20: still Level 2 after rechecking greetings, agreement/disagreement, manners, and people-role anchors that support permission/help/request subcases.
communication_acts_and_language_entries.md,what does it mean to answer?,what does it mean to answer?,2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: answer advanced through answer-type distinctions. Gap pass verified 2026-04-20: still Level 2; existing direct-vs-indirect and uncertainty-answer distinctions cover the highest-value gaps. Dependency pass verified 2026-04-20: still Level 2 after rechecking agreement/disagreement, greeting, and people-role anchors that ground common answer contexts.
communication_acts_and_language_entries.md,what does it mean to whisper?,what does it mean to whisper?,1,level1_only,no,,Entry-level creation-pass review 2026-04-18: kept at Level 1; simple volume-modulation anchor. Gap pass verified 2026-04-20: still Level 1; simple quiet-voice anchor. Dependency pass verified 2026-04-20: still Level 1 because surrounding conversation files do not create unmet dependency pressure beyond the existing whisper-vs-shout contrast.
communication_acts_and_language_entries.md,what does it mean to shout?,what does it mean to shout?,1,level1_only,no,,Entry-level creation-pass review 2026-04-18: kept at Level 1; simple volume-modulation anchor. Gap pass verified 2026-04-20: still Level 1; simple loud-voice anchor. Dependency pass verified 2026-04-20: still Level 1 because neighboring social-repair and feedback files do not require a richer shouting subarticle beyond the current loud-voice anchor.
communication_acts_and_language_entries.md,what does it mean to explain?,what does it mean to explain?,1,level1_only,no,,Entry-level creation-pass review 2026-04-18: kept at Level 1; current anchor is enough for now. Gap pass verified 2026-04-20: still Level 1; the Level 1 anchor is sufficient without a dedicated Level 2 section. Dependency pass verified 2026-04-20: still Level 1 because explanation work is already indirectly covered by the Level 2 clarification and repair sections plus evidence neighbors.
communication_acts_and_language_entries.md,what is a promise?,promise,2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: promise advanced through keep-break-repair and lie-vs-mistake distinctions. Gap pass verified 2026-04-20: still Level 2; keep-break-repair and lie-vs-mistake coverage remains sufficient. Dependency pass verified 2026-04-20: still Level 2 after rechecking praise/feedback, conflict-repair, and evidence neighbors that border trust, correction, and truth language.
communication_acts_and_language_entries.md,"what does ""what does that mean"" mean?","what does ""what does that mean"" mean?",2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: repair phrase advanced as meaning-clarification move. Gap pass verified 2026-04-20: still Level 2; meaning-clarification coverage remains sufficient. Dependency pass verified 2026-04-20: still Level 2 after rechecking greeting, manners, and evidence-adjacent explanation anchors that support clarification requests.
communication_acts_and_language_entries.md,"what does ""can you say it again"" mean?","what does ""can you say it again"" mean?",2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: repair phrase advanced as repetition request. Gap pass verified 2026-04-20: still Level 2; repetition-request coverage remains sufficient. Dependency pass verified 2026-04-20: still Level 2 after rechecking greeting and people-role anchors; no extra dependency gaps appeared around repetition requests.
communication_acts_and_language_entries.md,"what does ""I meant"" mean?","what does ""I meant"" mean?",2,has_level2,yes,communication_acts_and_language_level2.md,Entry-level creation-pass review 2026-04-18: repair phrase advanced as self-correction move. Gap pass verified 2026-04-20: still Level 2; self-correction coverage remains sufficient. Dependency pass verified 2026-04-20: still Level 2 after rechecking feedback, conflict-repair, and evidence neighbors that border correction and mistake language.
