acceptance | miscellaneous_concepts | S
introduction | people_and_relationships | S
inverse | school_and_learning | S
invitation | people_and_relationships | S
iris | animals_and_nature | A
issue | miscellaneous_concepts | S
item | home_and_daily_life | S
ivy | animals_and_nature | A
jammed | home_and_daily_life | S
keep | miscellaneous_concepts | S
kilogram | school_and_learning | S
knowledge | school_and_learning | S
landscape | animals_and_nature | A
laughter | people_and_relationships | S
lay | miscellaneous_concepts | S
left | school_and_learning | S
lemonade | food_and_meals | A
let | miscellaneous_concepts | S
like | people_and_relationships | S
likely | miscellaneous_concepts | S
liter | school_and_learning | S
location | miscellaneous_concepts | S
lonely | people_and_relationships | A
loosen | miscellaneous_concepts | S
loser | people_and_relationships | A
machinery | tools_and_making | A
magical | miscellaneous_concepts | S
maintenance | tools_and_making | S
management | miscellaneous_concepts | S
math | school_and_learning | A
mechanism | tools_and_making | S
media | miscellaneous_concepts | S
medium | miscellaneous_concepts | S
membership | people_and_relationships | S
missed | people_and_relationships | S
misunderstand | school_and_learning | S
mix-up | miscellaneous_concepts | S
molecule | school_and_learning | A
motion | miscellaneous_concepts | S
motorcycle | vehicles_and_travel | A
multiplication | school_and_learning | S
multiplicity | miscellaneous_concepts | S
musician | people_and_relationships | A
mystery | miscellaneous_concepts | A
narrative | school_and_learning | S
narrow | miscellaneous_concepts | S
nation | people_and_relationships | A
neat | home_and_daily_life | S
news | school_and_learning | A
nibble | food_and_meals | S
nighttime | weather_and_seasons | A
nipple | body_and_health | A
object | miscellaneous_concepts | A
occasion | miscellaneous_concepts | S
omniscient | miscellaneous_concepts | S
opal | animals_and_nature | A
opponent | people_and_relationships | A
opportunity | miscellaneous_concepts | S
opposite | school_and_learning | S
orangutan | animals_and_nature | A
organization | people_and_relationships | S
origin | miscellaneous_concepts | S
outdoor | home_and_daily_life | S
oval | school_and_learning | S
overflow | home_and_daily_life | S
overwhelmed | people_and_relationships | S
paradox | miscellaneous_concepts | S
participation | people_and_relationships | S
passage | miscellaneous_concepts | S
pee | body_and_health | A
percent | school_and_learning | S
performance | people_and_relationships | A
performer | people_and_relationships | A
perfume | home_and_daily_life | A
period | miscellaneous_concepts | S
permission | miscellaneous_concepts | S
phrase | school_and_learning | S
pivot | miscellaneous_concepts | S
platter | home_and_daily_life | A
playroom | home_and_daily_life | A
please | people_and_relationships | S
plenty | miscellaneous_concepts | S
pod | animals_and_nature | A
pollen | animals_and_nature | S
poop | body_and_health | A
population | miscellaneous_concepts | S
portrait | home_and_daily_life | A
posture | body_and_health | S
pounce | animals_and_nature | S
preposition | school_and_learning | S
pressure | miscellaneous_concepts | S
prevention | miscellaneous_concepts | S
privacy | people_and_relationships | S
probability | school_and_learning | S
procedure | miscellaneous_concepts | S
product | miscellaneous_concepts | A
production | tools_and_making | S
program | school_and_learning | S
prose | school_and_learning | S
protection | miscellaneous_concepts | S
publication | school_and_learning | S
punctuation | school_and_learning | S
rotation | miscellaneous_concepts | S
runway | vehicles_and_travel | A
sad | people_and_relationships | S
satisfaction | people_and_relationships | S
scenario | miscellaneous_concepts | S
scenery | animals_and_nature | S
schoolwork | school_and_learning | S
scissors | tools_and_making | A
scorpion | animals_and_nature | A
scrap | tools_and_making | S
self-control | people_and_relationships | S
self-knowledge | people_and_relationships | S
sensation | body_and_health | S
sentence | school_and_learning | S
seventh | school_and_learning | S
shoulderblade | body_and_health | S
sideway | miscellaneous_concepts | S
similarity | miscellaneous_concepts | S
single | miscellaneous_concepts | S
singular | school_and_learning | S
site | miscellaneous_concepts | S
sketch | school_and_learning | A
sorry | people_and_relationships | S
soy | food_and_meals | S
specialized | miscellaneous_concepts | S
specify | miscellaneous_concepts | S
sphere | miscellaneous_concepts | S
spoonful | food_and_meals | S
sportsmanship | play_and_games | S
spouse | people_and_relationships | A
stanza | school_and_learning | S
steady | miscellaneous_concepts | S
storage | home_and_daily_life | S
streamer | play_and_games | A
subtraction | school_and_learning | S
suffix | school_and_learning | S
suggestion | people_and_relationships | S
summary | school_and_learning | S
supposed | miscellaneous_concepts | S
surgery | body_and_health | A
swipe | miscellaneous_concepts | S
swoop | animals_and_nature | S
takeaway | food_and_meals | S
target | play_and_games | A
teamwork | people_and_relationships | S
tension | people_and_relationships | S
theater | play_and_games | A
thermostat | home_and_daily_life | S
thrive | miscellaneous_concepts | S
thud | miscellaneous_concepts | S
toilet | home_and_daily_life | A
total | school_and_learning | S
tower | home_and_daily_life | A
town | people_and_relationships | A
traffic | vehicles_and_travel | S
trail | animals_and_nature | A
treehouse | home_and_daily_life | A
trouble | people_and_relationships | S
trough | animals_and_nature | S
unbuckle | home_and_daily_life | S
uncurl | body_and_health | S
underneath | miscellaneous_concepts | S
unique | miscellaneous_concepts | S
unity | people_and_relationships | S
universe | miscellaneous_concepts | A
unknown | miscellaneous_concepts | S
unload | home_and_daily_life | S
unlock | home_and_daily_life | S
untie | home_and_daily_life | S
utensil | food_and_meals | S
vacuum | home_and_daily_life | A
validity | miscellaneous_concepts | S
verbal | school_and_learning | S
vibration | body_and_health | S
virus | body_and_health | A
vocabulary | school_and_learning | S
warmth | weather_and_seasons | S
website | school_and_learning | S
well-being | people_and_relationships | S
workout | body_and_health | A
workshop | tools_and_making | A
yogurt | food_and_meals | A
