training_data/phases/phase_1/phase_1_062.md | duplicate/redundant statement | "A boat is a vehicle that moves on water." repeated verbatim in both appearance and location blocks
training_data/phases/phase_6/phase_6_492.md | duplicate/redundant statement | "Equality promotes equality" uses target word in own definition
training_data/phases/phase_6/phase_6_518.md | duplicate/redundant statement | doubled word "for for" on line 35
training_data/phases/phase_6/phase_6_51.md | duplicate/redundant statement | repeated closing lines within each section (lines 10/13, 17/20, 24/27)
training_data/phases/phase_6/phase_6_52.md | duplicate/redundant statement | repeated closing lines within each section (lines 10/13, 17/20, 24/27)
training_data/phases/phase_6/phase_6_53.md | duplicate/redundant statement | repeated closing lines within each section (lines 10/13, 17/20, 24/27)
training_data/phases/phase_6/phase_6_54.md | duplicate/redundant statement | repeated closing lines within each section (lines 10/13, 17/20, 24/27)
training_data/phases/phase_6/phase_6_55.md | duplicate/redundant statement | summary lines repeat first body line verbatim instead of combining two properties
training_data/phases/phase_6/phase_6_56.md | duplicate/redundant statement | summary lines repeat first body line verbatim instead of combining two properties
training_data/phases/phase_6/phase_6_57.md | duplicate/redundant statement | summary lines repeat first body line verbatim instead of combining two properties
training_data/phases/phase_6/phase_6_58.md | duplicate/redundant statement | summary lines repeat first body line verbatim instead of combining two properties
training_data/phases/phase_6/phase_6_59.md | duplicate/redundant statement | summary lines repeat first body line verbatim instead of combining two properties
training_data/phases/phase_6/phase_6_601.md | duplicate/redundant statement | "What does objection do?" block has 6 body lines instead of 5; extra line adds nothing
training_data/phases/phase_6/phase_6_643.md | duplicate/redundant statement | each block contains 4+ lines saying the same thing (e.g. lines 3-8 "behavior is action")
training_data/phases/phase_6/phase_6_697.md | duplicate/redundant statement | "constant" covered in both file 696 and 697 with overlapping content
training_data/phases/phase_6/phase_6_70.md | duplicate/redundant statement | "matter can be in air." repeated verbatim at lines 10 and 13
training_data/phases/phase_6/phase_6_71.md | duplicate/redundant statement | "measure can be in math class." repeated verbatim at lines 10 and 13
training_data/phases/phase_6/phase_6_72.md | duplicate/redundant statement | "medium can be on a size chart." repeated verbatim at lines 10 and 13
training_data/phases/phase_6/phase_6_888.md | duplicate/redundant statement | "separate" taught in Format B descriptor here and again in phase_6_913
training_data/phases/phase_6/phase_6_983.md | duplicate/redundant statement | "deep" already taught in phase_6_950 with Format A; descriptor here is redundant
ROUTING DONE: 64 lines routed to this file
