DONE phase_1/phase_1_1250.md  [autumn]
DONE phase_1/phase_1_1414.md  [old]
DONE phase_1/phase_1_1415.md  [older]
DONE phase_1/phase_1_1416.md  [plastic]
DONE phase_1/phase_1_1417.md  [purple]
DONE phase_1/phase_1_1418.md  [quick]
DONE phase_1/phase_1_1419.md  [rainy]
DONE phase_1/phase_1_1420.md  [raw]
DONE phase_1/phase_1_1421.md  [reddish-orange]
DONE phase_1/phase_1_1422.md  [ripe]
DONE phase_1/phase_1_1423.md  [rocky]
DONE phase_1/phase_1_1424.md  [rotten]
DONE phase_1/phase_1_1425.md  [runny]
DONE phase_1/phase_1_1426.md  [salty]
DONE phase_1/phase_1_1427.md  [sandy]
DONE phase_1/phase_1_1428.md  [scaly]
DONE phase_1/phase_1_1429.md  [scratchy]
DONE phase_1/phase_1_1430.md  [shady]
DONE phase_1/phase_1_1431.md  [shaky]
DONE phase_1/phase_1_1432.md  [shiny]
DONE phase_1/phase_1_1433.md  [silent]
DONE phase_1/phase_1_1434.md  [slim]
DONE phase_1/phase_1_1435.md  [slimy]
DONE phase_1/phase_1_1436.md  [slippery]
DONE phase_1/phase_1_1437.md  [smelly]
DONE phase_1/phase_1_1438.md  [snowy]
DONE phase_1/phase_1_1439.md  [snug]
DONE phase_1/phase_1_1440.md  [soapy]
DONE phase_1/phase_1_1441.md  [soggy]
DONE phase_1/phase_1_1442.md  [sour]
DONE phase_1/phase_1_1443.md  [spicy]
DONE phase_1/phase_1_1444.md  [spiky]
DONE phase_1/phase_1_1445.md  [spotted]
DONE phase_1/phase_1_1447.md  [squeaky]
DONE phase_1/phase_1_1448.md  [star-shaped]
DONE phase_1/phase_1_1449.md  [starchy]
DONE phase_1/phase_1_1450.md  [sticky]
DONE phase_1/phase_1_1451.md  [stinky]
DONE phase_1/phase_1_1452.md  [stretchy]
DONE phase_1/phase_1_1453.md  [stringy]
DONE phase_1/phase_1_1454.md  [strong-smelling]
DONE phase_1/phase_1_1455.md  [stuffy]
DONE phase_1/phase_1_1456.md  [tangy]
DONE phase_1/phase_1_1457.md  [tasty]
DONE phase_1/phase_1_1458.md  [tender]
DONE phase_1/phase_1_1459.md  [thin]
DONE phase_1/phase_1_1460.md  [transparent]
DONE phase_1/phase_1_1461.md  [upper]
DONE phase_1/phase_1_1462.md  [warm]
DONE phase_1/phase_1_1463.md  [wavy]
DONE phase_1/phase_1_1464.md  [waxy]
DONE phase_1/phase_1_1465.md  [webbed]
DONE phase_1/phase_1_1466.md  [wiggly]
DONE phase_1/phase_1_1467.md  [wild]
DONE phase_1/phase_1_1468.md  [windy]
DONE phase_1/phase_1_1469.md  [wobbly]
DONE phase_1/phase_1_1470.md  [wooden]
DONE phase_1/phase_1_1471.md  [woody]
DONE phase_1/phase_1_1472.md  [woolly]
DONE phase_1/phase_1_1473.md  [young]
DONE phase_1/phase_1_1474.md  [yucky]
DONE phase_1/phase_1_1475.md  [apart]
DONE phase_1/phase_1_1476.md  [aside]
DONE phase_1/phase_1_1477.md  [sparkly]
DONE phase_1/phase_1_1478.md  [fluffy]
DONE phase_1/phase_1_1479.md  [noisy]
DONE phase_1/phase_1_1480.md  [springy]
DONE phase_2/phase_2_355.md  [address]
DONE phase_2/phase_2_357.md  [ankle]
DONE phase_2/phase_2_358.md  [area]
DONE phase_2/phase_2_359.md  [auditorium]
DONE phase_2/phase_2_360.md  [bake]
DONE phase_2/phase_2_361.md  [baking]
DONE phase_2/phase_2_362.md  [band]
DONE phase_2/phase_2_363.md  [barrier]
DONE phase_2/phase_2_364.md  [brim]
DONE phase_2/phase_2_366.md  [cab]
DONE phase_2/phase_2_367.md  [cafeteria]
DONE phase_2/phase_2_368.md  [caleb]
DONE phase_2/phase_2_369.md  [cand]
DONE phase_2/phase_2_370.md  [cane]
DONE phase_2/phase_2_371.md  [cargo]
DONE phase_2/phase_2_372.md  [carton]
DONE phase_2/phase_2_373.md  [castle]
DONE phase_2/phase_2_374.md  [checkout]
DONE phase_2/phase_2_375.md  [checkup]
DONE phase_2/phase_2_376.md  [chloe]
DONE phase_2/phase_2_377.md  [chunk]
DONE phase_2/phase_2_378.md  [citrus]
DONE phase_2/phase_2_379.md  [clara]
DONE phase_2/phase_2_380.md  [closet]
DONE phase_2/phase_2_381.md  [cody]
DONE phase_2/phase_2_382.md  [coffee]
DONE phase_2/phase_2_383.md  [collage]
DONE phase_2/phase_2_384.md  [column]
DONE phase_2/phase_2_385.md  [comic]
DONE phase_2/phase_2_386.md  [cook]
DONE phase_2/phase_2_387.md  [cooked]
DONE phase_2/phase_2_388.md  [cooky]
DONE phase_2/phase_2_389.md  [cooler]
DONE phase_2/phase_2_390.md  [countryside]
DONE phase_2/phase_2_391.md  [course]
DONE phase_2/phase_2_392.md  [courtyard]
DONE phase_2/phase_2_393.md  [crust]
DONE phase_2/phase_2_394.md  [cubby]
DONE phase_2/phase_2_395.md  [cube]
DONE phase_2/phase_2_396.md  [cylinder]
DONE phase_2/phase_2_397.md  [dairy]
DONE phase_2/phase_2_398.md  [date]
DONE phase_2/phase_2_399.md  [decoration]
DONE phase_2/phase_2_400.md  [delivered]
DONE phase_2/phase_2_401.md  [delivery]
DONE phase_2/phase_2_402.md  [device]
DONE phase_2/phase_2_403.md  [digging]
DONE phase_2/phase_2_404.md  [dipped]
DONE phase_2/phase_2_405.md  [display]
DONE phase_2/phase_2_406.md  [distribute]
DONE phase_2/phase_2_407.md  [doorbell]
DONE phase_2/phase_2_408.md  [doorway]
DONE phase_2/phase_2_409.md  [downhill]
DONE phase_2/phase_2_410.md  [downstair]
DONE phase_2/phase_2_411.md  [dozen]
DONE phase_2/phase_2_412.md  [drag]
DONE phase_2/phase_2_413.md  [drink]
DONE phase_2/phase_2_414.md  [dropping]
DONE phase_2/phase_2_415.md  [equipment]
DONE phase_2/phase_2_416.md  [fastener]
DONE phase_2/phase_2_417.md  [feed]
DONE phase_2/phase_2_418.md  [fireplace]
DONE phase_2/phase_2_419.md  [flatbed]
DONE phase_2/phase_2_420.md  [fort]
DONE phase_2/phase_2_421.md  [fridge]
DONE phase_2/phase_2_422.md  [garage]
DONE phase_2/phase_2_423.md  [go-kart]
DONE phase_2/phase_2_425.md  [handlebar]
DONE phase_2/phase_2_427.md  [item]
DONE phase_2/phase_2_428.md  [jack]
DONE phase_2/phase_2_429.md  [kitchenware]
DONE phase_2/phase_2_430.md  [lemonade]
DONE phase_2/phase_2_431.md  [lullaby]
DONE phase_2/phase_2_432.md  [magazine]
DONE phase_2/phase_2_433.md  [mason]
DONE phase_2/phase_2_434.md  [mattres]
DONE phase_2/phase_2_435.md  [measurer]
DONE phase_2/phase_2_436.md  [motorcycle]
DONE phase_2/phase_2_437.md  [musician]
DONE phase_2/phase_2_438.md  [narrow]
DONE phase_2/phase_2_439.md  [nash]
DONE phase_2/phase_2_440.md  [neat]
DONE phase_2/phase_2_441.md  [nina]
DONE phase_2/phase_2_442.md  [ninereed]
DONE phase_2/phase_2_443.md  [noah]
DONE phase_2/phase_2_444.md  [nora]
DONE phase_2/phase_2_445.md  [nudge]
DONE phase_2/phase_2_446.md  [oliver]
DONE phase_2/phase_2_447.md  [open-house]
DONE phase_2/phase_2_448.md  [outdoor]
DONE phase_2/phase_2_449.md  [outlet]
DONE phase_2/phase_2_450.md  [owen]
DONE phase_2/phase_2_451.md  [passage]
DONE phase_2/phase_2_452.md  [perfume]
DONE phase_2/phase_2_453.md  [phil]
DONE phase_2/phase_2_454.md  [phoebe]
DONE phase_2/phase_2_455.md  [pin]
DONE phase_2/phase_2_456.md  [platter]
DONE phase_2/phase_2_457.md  [playground]
DONE phase_2/phase_2_458.md  [playroom]
DONE phase_2/phase_2_459.md  [portrait]
DONE phase_2/phase_2_461.md  [rudder]
DONE phase_2/phase_2_462.md  [runway]
DONE phase_2/phase_2_466.md  [sketch]
DONE phase_2/phase_2_467.md  [spoonful]
DONE phase_2/phase_2_468.md  [storage]
DONE phase_2/phase_2_469.md  [store]
DONE phase_2/phase_2_470.md  [streamer]
DONE phase_2/phase_2_471.md  [swipe]
DONE phase_2/phase_2_472.md  [swung]
DONE phase_2/phase_2_473.md  [takeaway]
DONE phase_2/phase_2_474.md  [tally]
DONE phase_2/phase_2_475.md  [tapping]
DONE phase_2/phase_2_476.md  [target]
DONE phase_2/phase_2_477.md  [theater]
DONE phase_2/phase_2_478.md  [thermostat]
DONE phase_2/phase_2_479.md  [threshold]
DONE phase_2/phase_2_480.md  [threw]
DONE phase_2/phase_2_481.md  [toilet]
DONE phase_2/phase_2_482.md  [tower]
DONE phase_2/phase_2_483.md  [town]
DONE phase_2/phase_2_484.md  [trail]
DONE phase_2/phase_2_485.md  [treehouse]
DONE phase_2/phase_2_486.md  [trough]
DONE phase_2/phase_2_487.md  [troy]
DONE phase_2/phase_2_488.md  [utensil]
DONE phase_2/phase_2_489.md  [vacuum]
DONE phase_2/phase_2_490.md  [workbench]
DONE phase_2/phase_2_491.md  [workshop]
DONE phase_2/phase_2_492.md  [yogurt]
DONE phase_2/phase_2_493.md  [hull]
DONE phase_2/phase_2_494.md  [husk]
DONE phase_2/phase_2_495.md  [running]
DONE phase_2/phase_2_496.md  [said]
DONE phase_2/phase_2_497.md  [saturday]
DONE phase_2/phase_2_498.md  [schoolwork]
DONE phase_2/phase_2_499.md  [scrap]
DONE phase_2/phase_2_500.md  [scrubbed]
DONE phase_2/phase_2_501.md  [seen]
DONE phase_2/phase_2_502.md  [selected]
DONE phase_2/phase_2_503.md  [session]
DONE phase_2/phase_2_504.md  [setting]
DONE phase_2/phase_2_505.md  [afternoon]
DONE phase_2/phase_2_506.md  [building]
DONE phase_2/phase_2_507.md  [good]
DONE phase_2/phase_2_508.md  [ingredient]
DONE phase_2/phase_2_509.md  [product]
DONE phase_2/phase_2_510.md  [scissors]
DONE phase_2/phase_2_511.md  [separator]
DONE phase_2/phase_2_512.md  [site]
DONE phase_2/phase_2_513.md  [seventh]
DONE phase_2/phase_2_515.md  [binding]
DONE phase_2/phase_2_517.md  [buying]
DONE phase_2/phase_2_519.md  [coupling]
DONE phase_2/phase_2_520.md  [deleting]
DONE phase_2/phase_2_522.md  [dicing]
DONE phase_2/phase_2_523.md  [discarding]
DONE phase_2/phase_2_524.md  [disguising]
DONE phase_2/phase_2_525.md  [displaying]
DONE phase_2/phase_2_526.md  [dividing]
DONE phase_2/phase_2_527.md  [downloading]
DONE phase_2/phase_2_528.md  [duplicating]
DONE phase_2/phase_2_529.md  [equipping]
DONE phase_2/phase_2_530.md  [espying]
DONE phase_2/phase_2_531.md  [finding]
DONE phase_2/phase_2_532.md  [forwarding]
DONE phase_2/phase_2_533.md  [furnishing]
DONE phase_2/phase_2_534.md  [gobbling]
DONE phase_2/phase_2_535.md  [grabbing]
DONE phase_2/phase_2_536.md  [grating]
DONE phase_2/phase_2_537.md  [grilling]
DONE phase_2/phase_2_538.md  [grinding]
DONE phase_2/phase_2_539.md  [hitching]
DONE phase_2/phase_2_540.md  [hoarding]
DONE phase_2/phase_2_541.md  [ingesting]
DONE phase_2/phase_2_542.md  [inserting]
DONE phase_2/phase_2_543.md  [keeping]
DONE phase_2/phase_2_547.md  [mashing]
DONE phase_2/phase_2_548.md  [mincing]
DONE phase_2/phase_2_549.md  [mounting]
DONE phase_2/phase_2_550.md  [nibbling]
DONE phase_2/phase_2_551.md  [nudging]
DONE phase_2/phase_2_552.md  [paring]
DONE phase_2/phase_2_553.md  [peddling]
DONE phase_2/phase_2_554.md  [piercing]
DONE phase_2/phase_2_555.md  [pinning]
DONE phase_2/phase_2_556.md  [possessing]
DONE phase_2/phase_2_557.md  [propping]
DONE phase_2/phase_2_558.md  [prying]
DONE phase_2/phase_2_563.md  [retrieving]
DONE phase_2/phase_2_564.md  [rigging]
DONE phase_2/phase_2_565.md  [robbing]
DONE phase_2/phase_2_566.md  [seizing]
DONE phase_2/phase_2_567.md  [skimming]
DONE phase_2/phase_2_568.md  [sparing]
DONE phase_2/phase_2_569.md  [stockpiling]
DONE phase_2/phase_2_570.md  [storing]
DONE phase_2/phase_2_571.md  [supplementing]
DONE phase_2/phase_2_572.md  [tallying]
DONE phase_2/phase_2_573.md  [totaling]
DONE phase_2/phase_2_574.md  [trafficking]
DONE phase_2/phase_2_575.md  [transporting]
DONE phase_2/phase_2_576.md  [typing]
DONE phase_2/phase_2_580.md  [unscrewing]
DONE phase_2/phase_2_581.md  [unzipping]
DONE phase_2/phase_2_582.md  [using]
DONE phase_2/phase_2_583.md  [vacuuming]
DONE phase_2/phase_2_584.md  [vending]
DONE phase_2/phase_2_585.md  [welding]
DONE phase_2/phase_2_586.md  [wholesaling]
DONE phase_2/phase_2_587.md  [wringing]
DONE phase_2/phase_2_588.md  [yoking]
DONE phase_2/phase_2_631.md  [assembling]
DONE phase_2/phase_2_632.md  [bringing]
DONE phase_2/phase_2_634.md  [delivering]
DONE phase_2/phase_2_635.md  [launching]
DONE phase_2/phase_2_636.md  [laying]
DONE phase_2/phase_2_637.md  [letting]
DONE phase_2/phase_2_638.md  [quitting]
DONE phase_2/phase_2_639.md  [receiving]
DONE phase_2/phase_2_640.md  [removing]
DONE phase_2/phase_2_641.md  [replacing]
DONE phase_2/phase_2_642.md  [unbuckling]
DONE phase_2/phase_2_644.md  [unplugging]
DONE phase_2/phase_2_645.md  [closing]
DONE phase_2/phase_2_648.md  [unloading]
DONE phase_2/phase_2_649.md  [amazing]
DONE phase_2/phase_2_650.md  [ancient]
DONE phase_2/phase_2_651.md  [animal]
DONE phase_2/phase_2_652.md  [awful]
DONE phase_2/phase_2_653.md  [awkward]
DONE phase_2/phase_2_654.md  [bad]
DONE phase_2/phase_2_655.md  [bare]
DONE phase_2/phase_2_656.md  [basic]
DONE phase_2/phase_2_657.md  [beautiful]
DONE phase_2/phase_2_658.md  [bell-shaped]
DONE phase_2/phase_2_659.md  [best]
DONE phase_2/phase_2_660.md  [better]
DONE phase_2/phase_2_661.md  [blank]
DONE phase_2/phase_2_662.md  [blunt]
DONE phase_2/phase_2_663.md  [blur]
DONE phase_2/phase_2_664.md  [bold]
DONE phase_2/phase_2_665.md  [boring]
DONE phase_2/phase_2_666.md  [box-like]
DONE phase_2/phase_2_667.md  [brief]
DONE phase_2/phase_2_668.md  [bubbly]
DONE phase_2/phase_2_669.md  [bushy]
DONE phase_2/phase_2_670.md  [busy]
DONE phase_2/phase_2_671.md  [buttery]
DONE phase_2/phase_2_672.md  [casual]
DONE phase_2/phase_2_673.md  [cheap]
DONE phase_2/phase_2_674.md  [child-facing]
DONE phase_2/phase_2_675.md  [child-readable]
DONE phase_2/phase_2_676.md  [classic]
DONE phase_2/phase_2_677.md  [comfortable]
DONE phase_2/phase_2_678.md  [comfy]
DONE phase_2/phase_2_679.md  [common]
DONE phase_2/phase_2_680.md  [cozy]
DONE phase_2/phase_2_681.md  [crampy]
DONE phase_2/phase_2_682.md  [crude]
DONE phase_2/phase_2_683.md  [cute]
DONE phase_2/phase_2_684.md  [delicate]
DONE phase_2/phase_2_685.md  [demanding]
DONE phase_2/phase_2_686.md  [dependable]
DONE phase_2/phase_2_687.md  [distant]
DONE phase_2/phase_2_688.md  [dull]
DONE phase_2/phase_2_689.md  [earlier]
DONE phase_2/phase_2_690.md  [easy]
DONE phase_2/phase_2_691.md  [forward]
DONE phase_2/phase_2_692.md  [fragile]
DONE phase_2/phase_2_693.md  [front]
DONE phase_2/phase_2_694.md  [full-scale]
DONE phase_2/phase_2_695.md  [graceful]
DONE phase_2/phase_2_696.md  [great]
DONE phase_2/phase_2_697.md  [greater]
DONE phase_2/phase_2_698.md  [harmful]
DONE phase_2/phase_2_699.md  [harmless]
DONE phase_2/phase_2_700.md  [healthy]
DONE phase_2/phase_2_701.md  [helpful]
DONE phase_2/phase_2_702.md  [hidden]
DONE phase_2/phase_2_703.md  [hollow]
DONE phase_2/phase_2_704.md  [homemade]
DONE phase_2/phase_2_705.md  [household]
DONE phase_2/phase_2_706.md  [ill]
DONE phase_2/phase_2_707.md  [imperfect]
DONE phase_2/phase_2_708.md  [important]
DONE phase_2/phase_2_709.md  [impressive]
DONE phase_2/phase_2_710.md  [inaccurate]
DONE phase_2/phase_2_711.md  [incorrect]
DONE phase_2/phase_2_715.md  [inner]
DONE phase_2/phase_2_716.md  [keen]
DONE phase_2/phase_2_717.md  [late]
DONE phase_2/phase_2_718.md  [linear]
DONE phase_2/phase_2_719.md  [logger]
DONE phase_2/phase_2_720.md  [major]
DONE phase_2/phase_2_721.md  [material]
DONE phase_2/phase_2_722.md  [mechanical]
DONE phase_2/phase_2_723.md  [medical]
DONE phase_2/phase_2_724.md  [mere]
DONE phase_2/phase_2_725.md  [minor]
DONE phase_2/phase_2_726.md  [modern]
DONE phase_2/phase_2_727.md  [multi-paragraph]
DONE phase_2/phase_2_728.md  [multi-step]
DONE phase_2/phase_2_729.md  [musical]
DONE phase_2/phase_2_730.md  [nice]
DONE phase_2/phase_2_731.md  [normal]
DONE phase_2/phase_2_732.md  [nowhere]
DONE phase_2/phase_2_733.md  [octagonal]
DONE phase_2/phase_2_734.md  [opaque]
DONE phase_2/phase_2_735.md  [ordinary]
DONE phase_2/phase_2_736.md  [outer]
DONE phase_2/phase_2_737.md  [pale]
DONE phase_2/phase_2_738.md  [paper-thin]
DONE phase_2/phase_2_739.md  [personal]
DONE phase_2/phase_2_740.md  [pitter-patter]
DONE phase_2/phase_2_741.md  [pleasant]
DONE phase_2/phase_2_742.md  [poisonous]
DONE phase_2/phase_2_743.md  [poor]
DONE phase_2/phase_2_744.md  [popular]
DONE phase_2/phase_2_745.md  [positive]
DONE phase_2/phase_2_746.md  [possible]
DONE phase_2/phase_2_747.md  [powerful]
DONE phase_2/phase_2_748.md  [pretty]
DONE phase_2/phase_2_749.md  [primitive]
DONE phase_2/phase_2_750.md  [private]
DONE phase_2/phase_2_751.md  [proper]
DONE phase_2/phase_2_752.md  [public]
DONE phase_2/phase_2_753.md  [puffy]
DONE phase_2/phase_2_754.md  [readable]
DONE phase_2/phase_2_755.md  [ready]
DONE phase_2/phase_2_756.md  [refined]
DONE phase_2/phase_2_757.md  [refreshing]
DONE phase_2/phase_2_758.md  [risky]
DONE phase_2/phase_2_759.md  [royal]
DONE phase_2/phase_2_760.md  [scarce]
DONE phase_2/phase_2_761.md  [scary]
DONE phase_2/phase_2_762.md  [secondary]
DONE phase_2/phase_2_763.md  [significant]
DONE phase_2/phase_2_764.md  [solar]
DONE phase_2/phase_2_765.md  [sparse]
DONE phase_2/phase_2_766.md  [steep]
DONE phase_2/phase_2_767.md  [stormy]
DONE phase_2/phase_2_768.md  [sunny]
DONE phase_2/phase_2_769.md  [tense]
DONE phase_2/phase_2_770.md  [tricky]
DONE phase_2/phase_2_771.md  [triple]
DONE phase_2/phase_2_772.md  [unbalanced]
DONE phase_2/phase_2_773.md  [unclean]
DONE phase_2/phase_2_774.md  [underwater]
DONE phase_2/phase_2_775.md  [uneven]
DONE phase_2/phase_2_776.md  [unfair]
DONE phase_2/phase_2_777.md  [unhelpful]
DONE phase_2/phase_2_778.md  [unpleasant]
DONE phase_2/phase_2_779.md  [unreachable]
DONE phase_2/phase_2_780.md  [unsafe]
DONE phase_2/phase_2_781.md  [unsteady]
DONE phase_2/phase_2_782.md  [unwanted]
DONE phase_2/phase_2_783.md  [upright]
DONE phase_2/phase_2_784.md  [upset]
DONE phase_2/phase_2_785.md  [upsetting]
DONE phase_2/phase_2_786.md  [upside]
DONE phase_2/phase_2_787.md  [urgent]
DONE phase_2/phase_2_788.md  [useful]
DONE phase_2/phase_2_789.md  [weird]
DONE phase_2/phase_2_790.md  [wonderful]
DONE phase_2/phase_2_791.md  [worried]
DONE phase_2/phase_2_792.md  [worse]
DONE phase_2/phase_2_793.md  [worth]
DONE phase_2/phase_2_794.md  [younger]
DONE phase_2/phase_2_795.md  [orderly]
DONE phase_2/phase_2_796.md  [indirect]
DONE phase_2/phase_2_797.md  [indoor]
DONE phase_2/phase_2_798.md  [informal]
DONE phase_3/phase_3_1000.md  [nervousnes]
DONE phase_3/phase_3_1001.md  [newnes]
DONE phase_3/phase_3_1002.md  [news]
DONE phase_3/phase_3_1003.md  [next]
DONE phase_3/phase_3_1004.md  [nighttime]
DONE phase_3/phase_3_1005.md  [none]
DONE phase_3/phase_3_1006.md  [nonexistence]
DONE phase_3/phase_3_1007.md  [novelty]
DONE phase_3/phase_3_1008.md  [nutrition]
DONE phase_3/phase_3_1009.md  [object]
